ROI_TOTAL.Photons.s,MEAN.Photons.s.cm.2.sr,AREA.Pixels..cm.2,Treatment,Site,Mouse,day,exp
7060618.5,39534.109,14.21,10^2 K181,Body,P-19,3,20
2259488.8,12651.424,14.21,10^2 K181,Body,P-20,3,20
333482.91,1867.2515,14.21,10^2 K181,Body,P-21,3,20
309295.41,1731.8197,14.21,10^2 K181,Body,P-22,3,20
2660857.8,67579.313,3.133,10^2 K181,Salivary Gland,P-18,14,20
316191.09,8030.4844,3.133,10^2 K181,Salivary Gland,P-19,14,20
569631.31,14467.248,3.133,10^2 K181,Salivary Gland,P-20,14,20
1349487.8,34273.703,3.133,10^2 K181,Salivary Gland,P-21,14,20
3381585,85884.031,3.133,10^2 K181,Salivary Gland,P-22,14,20
1935609,10837.943,14.21,10^2 K181,Body,P-18,14,20
516833.13,2893.8735,14.21,10^2 K181,Body,P-19,14,20
858732.38,4827.7168,14.15,10^2 K181,Body,P-20,14,20
590022.69,3303.6797,14.21,10^2 K181,Body,P-21,14,20
688792.81,3856.7175,14.21,10^2 K181,Body,P-22,14,20
92248.438,2342.8857,3.133,10^2 K181,Salivary Gland,P-18,4,20
87290,2216.9536,3.133,10^2 K181,Salivary Gland,P-19,4,20
71456.148,1814.8123,3.133,10^2 K181,Salivary Gland,P-20,4,20
90205.938,2291.0112,3.133,10^2 K181,Salivary Gland,P-21,4,20
78114.43,1983.9164,3.133,10^2 K181,Salivary Gland,P-22,4,20
688017.88,3852.3784,14.21,10^2 K181,Body,P-18,4,20
